QualifyingAreaName,TotalPopulation,Female,White_Male,White_Female,FreeColoredPopulation,FreeColored_Female,Slave_Male,FreePersons,FreePersons_White_Male,FreePersons_ColoredPersons,FreePersons_ColoredPersons_Female,SlavePopulation_Female,DisabledWhite_DeafandDumb,InsaneandIdioticPersons_AtPublicCharge,PersonsEmployedinMining,PersonsEmployedinCommerce,PersonsEmployedinOceanNavigation,PersonsEmployedEngineersProfessional,CollegeUniversityStudents,PrimaryCommonSchoolStudents,Male,WhitePopulation,FreeColored_Male,SlavePopulation,Slave_Female,FreePersons_White,FreePersons_White_Female,FreePersons_ColoredPersons_Male,SlavePopulation_Male,DisabledWhite,InsaneandIdioticPersons,InsaneandIdioticPersons_AtPrivateCharge,PersonsEmployedinAgriculture,PersonsEmployedinManufacturingTrade,PersonsEmployedinLandNavigation,PensionersofRevolutionaryWarorMilitaryService,AcademyGrammarSchoolStudents
"Livingston County, Illinois",759,347,411,346,2,1,0,759,411,2,1,0,0,0,0,1,0,2,0,44,412,757,1,0,0,757,346,1,0,1,1,1,224,13,0,0,0
"Logan County, Illinois",2333,1116,1217,1115,1,1,0,2333,1217,1,1,0,1,2,0,9,0,7,0,150,1217,2332,0,0,0,2332,1115,0,0,2,6,4,662,54,0,0,0
"Mcdonough County, Illinois",5308,2507,2801,2507,0,0,0,5308,2801,0,0,0,0,0,0,9,0,25,0,336,2801,5308,0,0,0,5308,2507,0,0,0,0,0,1279,65,0,1,0
"Mchenry County, Illinois",2578,1171,1407,1171,0,0,0,2578,1407,0,0,0,0,0,0,2,0,11,0,265,1407,2578,0,0,0,2578,1171,0,0,0,0,0,654,39,0,0,0
"Mclean County, Illinois",6565,3080,3481,3075,9,5,0,6565,3481,9,5,0,2,1,0,0,0,0,0,422,3485,6556,4,0,0,6556,3075,4,0,4,1,0,1310,25,0,3,70
"Macon County, Illinois",3039,1427,1611,1425,3,2,0,3039,1611,3,2,0,1,1,NA,NA,NA,NA,0,234,1612,3036,1,0,0,3036,1425,1,0,5,3,2,NA,NA,NA,0,0
"Macoupin County, Illinois",7826,3725,4085,3706,35,19,0,7826,4085,35,19,0,4,0,0,21,0,74,0,375,4101,7791,16,0,0,7791,3706,16,0,15,11,11,1338,128,0,4,45
"Madison County, Illinois",14433,6417,7821,6269,333,142,4,14423,7821,333,142,6,0,2,35,265,0,120,1,1445,8016,14090,191,10,6,14090,6269,191,4,11,11,9,3336,749,54,11,144
"Marion County, Illinois",4742,2262,2479,2261,2,1,0,4742,2479,2,1,0,8,0,0,10,0,7,0,417,2480,4740,1,0,0,4740,2261,1,0,14,6,6,1436,30,0,3,0
"Marshall County, Illinois",1849,856,993,856,0,0,0,1849,993,0,0,0,0,0,1,0,0,18,0,100,993,1849,0,0,0,1849,856,0,0,0,1,1,402,108,0,0,50
"Menard County, Illinois",4431,2045,2382,2039,10,6,0,4431,2382,10,6,0,1,2,0,11,1,8,0,407,2386,4421,4,0,0,4421,2039,4,0,6,5,3,1213,99,0,4,0
"Mercer County, Illinois",2352,1080,1272,1080,0,0,0,2352,1272,0,0,0,0,0,0,17,0,11,0,320,1272,2352,0,0,0,2352,1080,0,0,2,2,2,667,100,5,1,0
"Monroe County, Illinois",4481,2021,2421,1979,70,33,2,4470,2421,70,33,9,1,1,0,28,0,13,0,168,2460,4400,37,11,9,4400,1979,37,2,6,3,2,979,115,2,4,0
"Montgomery County, Illinois",4490,2146,2339,2139,12,7,0,4490,2339,12,7,0,1,0,0,9,0,24,0,391,2344,4478,5,0,0,4478,2139,5,0,7,5,5,2829,131,0,3,186
"Morgan County, Illinois",19547,9227,10292,9187,68,40,0,19547,10292,68,40,0,2,0,25,134,8,119,1,1752,10320,19479,28,0,0,19479,9187,28,0,2,1,1,2651,494,1,6,222
"Ogle County, Illinois",3479,1495,1982,1491,6,4,0,3479,1982,6,4,0,0,0,0,15,0,30,0,215,1984,3473,2,0,0,3473,1491,2,0,1,1,1,675,201,0,1,0
"Peoria County, Illinois",6153,2811,3335,2809,9,2,0,6153,3335,9,2,0,0,0,2,49,1,26,0,1161,3342,6144,7,0,0,6144,2809,7,0,0,0,0,1268,135,5,5,0
"Perry County, Illinois",3222,1485,1737,1483,2,2,0,3222,1737,2,2,0,0,0,0,0,0,0,0,335,1737,3220,0,0,0,3220,1483,0,0,4,2,2,704,0,0,3,9
"Pike County, Illinois",11728,5559,6162,5554,12,5,0,11728,6162,12,5,0,0,2,0,68,0,61,0,656,6169,11716,7,0,0,11716,5554,7,0,6,6,4,3454,385,0,8,105
"Pope County, Illinois",4094,1892,2176,1860,58,32,0,4094,2176,58,32,0,0,0,0,12,0,3,0,468,2202,4036,26,0,0,4036,1860,26,0,0,0,0,852,11,4,2,0
"Putnam County, Illinois",2131,960,1169,960,2,0,0,2131,1169,2,0,0,0,0,0,11,0,30,0,675,1171,2129,2,0,0,2129,960,2,0,3,2,2,571,139,0,0,0
"Randolph County, Illinois",7944,3594,4181,3446,184,86,71,7811,4181,184,86,62,1,1,7,116,0,48,1,403,4350,7627,98,133,62,7627,3446,98,71,10,8,7,1895,360,1,1,25
"Rock Island County, Illinois",2610,1082,1525,1077,8,5,0,2610,1525,8,5,0,0,0,40,43,16,24,0,206,1528,2602,3,0,0,2602,1077,3,0,0,0,0,559,170,5,0,0
"St Clair County, Illinois",13631,6120,7273,5898,401,196,33,13572,7273,401,196,26,3,0,9,56,4,39,1,505,7511,13171,205,59,26,13171,5898,205,33,6,4,4,1284,284,7,2,91
"Sangamon County, Illinois",14716,7001,7623,6918,169,81,4,14710,7623,169,81,2,3,1,3,98,0,74,0,844,7715,14541,88,6,2,14541,6918,88,4,8,9,8,3078,603,0,5,192
"Schuyler County, Illinois",6972,3329,3633,3316,14,9,5,6963,3633,14,9,4,1,1,0,33,0,22,0,545,3643,6949,5,9,4,6949,3316,5,5,8,5,4,1421,213,1,2,0
"Scott County, Illinois",6215,3001,3213,2997,5,4,0,6215,3213,5,4,0,0,1,6,22,0,50,0,415,3214,6210,1,0,0,6210,2997,1,0,0,4,3,896,235,2,3,60
"Shelby County, Illinois",6659,3232,3414,3219,26,13,0,6659,3414,26,13,0,5,2,0,30,0,18,0,427,3427,6633,13,0,0,6633,3219,13,0,14,7,5,1708,120,0,2,0
"Stark County, Illinois",1573,756,817,756,0,0,0,1573,817,0,0,0,0,0,0,4,0,2,0,214,817,1573,0,0,0,1573,756,0,0,0,0,0,342,67,0,0,0
"Stephenson County, Illinois",2800,1180,1619,1178,3,2,0,2800,1619,3,2,0,0,0,0,20,0,5,0,177,1620,2797,1,0,0,2797,1178,1,0,0,0,0,870,60,0,0,0
"Tazewell County, Illinois",7221,3347,3859,3342,20,5,0,7221,3859,20,5,0,5,0,0,27,4,31,0,220,3874,7201,15,0,0,7201,3342,15,0,6,2,2,1223,220,1,3,191
"Union County, Illinois",5524,2712,2800,2694,26,16,2,5520,2800,26,16,2,2,2,0,20,0,7,0,387,2812,5494,10,4,2,5494,2694,10,2,8,7,5,1485,131,6,1,30
"Vermilion County, Illinois",9303,4474,4820,4468,15,6,0,9303,4820,15,6,0,0,0,0,30,0,43,0,691,4829,9288,9,0,0,9288,4468,9,0,15,10,10,2429,254,0,5,0
"Wabash County, Illinois",4240,2049,2169,2035,36,14,0,4240,2169,36,14,0,3,0,0,34,0,21,0,60,2191,4204,22,0,0,4204,2035,22,0,8,5,5,949,215,5,5,32
"Warren County, Illinois",6739,3070,3657,3051,31,19,0,6739,3657,31,19,0,1,1,0,21,5,28,0,569,3669,6708,12,0,0,6708,3051,12,0,15,13,12,1646,172,2,3,0
"Washington County, Illinois",4810,2194,2592,2171,47,23,0,4810,2592,47,23,0,2,1,0,12,1,3,0,299,2616,4763,24,0,0,4763,2171,24,0,5,5,4,1118,60,0,4,0
"Wayne County, Illinois",5133,2461,2669,2458,6,3,0,5133,2669,6,3,0,2,0,0,20,2,8,0,372,2672,5127,3,0,0,5127,2458,3,0,8,5,5,1567,106,4,4,0
"White County, Illinois",7919,3750,4127,3715,62,30,10,7904,4127,62,30,5,7,0,0,32,2,21,0,352,4169,7842,32,15,5,7842,3715,32,10,15,6,6,1798,94,0,6,0
"Whiteside County, Illinois",2514,1013,1501,1013,0,0,0,2514,1501,0,0,0,2,0,0,0,0,22,0,194,1501,2514,0,0,0,2514,1013,0,0,2,0,0,856,121,0,1,0
"Will County, Illinois",10167,3574,6585,3572,10,2,0,10167,6585,10,2,0,0,0,0,86,0,41,0,1082,6593,10157,8,0,0,10157,3572,8,0,1,2,2,1684,294,0,1,68
"Williamson County, Illinois",4457,2196,2245,2183,29,13,0,4457,2245,29,13,0,4,2,0,8,1,0,0,365,2261,4428,16,0,0,4428,2183,16,0,7,4,2,723,31,0,3,0
"Winnebago County, Illinois",4609,2042,2564,2041,3,1,1,4608,2564,3,1,0,6,1,0,0,0,31,0,606,2567,4605,2,1,0,4605,2041,2,1,7,1,0,1064,244,0,0,0
"Adams County, Indiana",2264,1081,1169,1078,17,3,0,2264,1169,17,3,0,3,0,0,3,0,5,0,35,1183,2247,14,0,0,2247,1078,14,0,8,2,2,665,35,0,2,0
"Allen County, Indiana",5942,2653,3277,2647,18,6,0,5942,3277,18,6,0,1,0,166,52,0,28,0,920,3289,5924,12,0,0,5924,2647,12,0,3,0,0,1292,265,6,0,0
"Bartholomew County, Indiana",10042,4813,5206,4802,34,11,0,10042,5206,34,11,0,3,0,0,31,0,28,0,943,5229,10008,23,0,0,10008,4802,23,0,5,3,3,1852,277,0,5,0
"Blackford County, Indiana",1226,594,623,590,13,4,0,1226,623,13,4,0,0,0,0,5,0,0,0,0,632,1213,9,0,0,1213,590,9,0,0,1,1,316,15,0,2,0
"Boone County, Indiana",8121,3988,4126,3976,19,12,0,8121,4126,19,12,0,12,0,0,8,0,15,0,250,4133,8102,7,0,0,8102,3976,7,0,19,7,7,1259,49,0,5,0
"Brown County, Indiana",2364,1165,1189,1152,23,13,0,2364,1189,23,13,0,1,0,0,0,0,0,0,24,1199,2341,10,0,0,2341,1152,10,0,2,1,1,499,0,0,3,0
"Carroll County, Indiana",7819,3678,4137,3676,6,2,0,7819,4137,6,2,0,2,0,0,28,0,31,0,288,4141,7813,4,0,0,7813,3676,4,0,6,4,4,2195,263,0,1,60
"Cass County, Indiana",5480,2446,3015,2425,40,21,0,5480,3015,40,21,0,6,0,0,40,0,29,0,276,3034,5440,19,0,0,5440,2425,19,0,12,6,6,643,131,1,1,0
"Clark County, Indiana",14595,6996,7403,6804,388,192,0,14595,7403,388,192,0,3,0,0,82,2,63,0,1426,7599,14207,196,0,0,14207,6804,196,0,21,14,14,2492,1045,158,10,171
"Clay County, Indiana",5567,2679,2885,2679,3,0,0,5567,2885,3,0,0,7,0,0,20,0,12,0,356,2888,5564,3,0,0,5564,2679,3,0,12,5,5,2522,137,0,7,45
"Clinton County, Indiana",7508,3585,3918,3581,9,4,0,7508,3918,9,4,0,2,1,0,14,0,24,0,45,3923,7499,5,0,0,7499,3581,5,0,4,2,1,1069,138,0,0,0
"Crawford County, Indiana",5282,2601,2675,2595,12,6,0,5282,2675,12,6,0,2,1,0,0,0,8,0,310,2681,5270,6,0,0,5270,2595,6,0,7,5,4,681,67,27,4,0
"Daviess County, Indiana",6720,3215,3491,3204,25,11,0,6720,3491,25,11,0,0,0,0,0,0,16,0,244,3505,6695,14,0,0,6695,3204,14,0,0,1,1,1773,106,0,4,43
"Dearborn County, Indiana",19327,9244,10013,9179,135,65,0,19327,10013,135,65,0,10,5,0,167,0,74,0,1110,10083,19192,70,0,0,19192,9179,70,0,28,22,17,3905,897,80,15,30
"Decatur County, Indiana",12171,6062,6081,6027,63,35,0,12171,6081,63,35,0,3,1,0,54,0,25,0,2986,6109,12108,28,0,0,12108,6027,28,0,18,12,11,2737,292,1,11,75
"De Kalb County, Indiana",1968,903,1061,900,7,3,0,1968,1061,7,3,0,7,0,0,3,0,3,0,191,1065,1961,4,0,0,1961,900,4,0,7,0,0,574,30,0,0,0
"Delaware County, Indiana",8843,4239,4601,4239,3,0,0,8843,4601,3,0,0,14,3,0,40,0,27,0,1329,4604,8840,3,0,0,8840,4239,3,0,28,13,10,2088,222,1,3,0
"Dubois County, Indiana",3632,1741,1888,1737,7,4,0,3632,1888,7,4,0,1,0,0,0,0,6,0,50,1891,3625,3,0,0,3625,1737,3,0,5,2,2,985,0,0,1,75
"Elkhart County, Indiana",6660,3138,3521,3137,2,1,0,6660,3521,2,1,0,5,2,15,38,0,23,0,473,3522,6658,1,0,0,6658,3137,1,0,7,3,1,1017,240,0,2,0
"Fayette County, Indiana",9837,4743,5062,4722,53,21,0,9837,5062,53,21,0,9,25,1,48,9,39,0,447,5094,9784,32,0,0,9784,4722,32,0,51,39,14,2926,396,0,4,125
"Floyd County, Indiana",9454,4534,4716,4336,402,198,0,9454,4716,402,198,0,0,2,0,205,0,49,0,379,4920,9052,204,0,0,9052,4336,204,0,6,3,1,1470,642,137,5,0
"Fountain County, Indiana",11218,5382,5819,5366,33,16,0,11218,5819,33,16,0,8,0,0,38,0,40,0,30,5836,11185,17,0,0,11185,5366,17,0,12,3,3,3167,250,1,0,0
"Franklin County, Indiana",13349,6474,6832,6435,82,39,0,13349,6832,82,39,0,8,1,0,55,1,68,0,995,6875,13267,43,0,0,13267,6435,43,0,18,10,9,1786,552,2,14,137
"Fulton County, Indiana",1993,969,1023,969,1,0,0,1993,1023,1,0,0,0,0,0,7,0,11,0,0,1024,1992,1,0,0,1992,969,1,0,1,2,2,495,28,0,1,0
"Gibson County, Indiana",8977,4345,4562,4278,137,67,0,8977,4562,137,67,0,5,1,0,37,0,21,0,486,4632,8840,70,0,0,8840,4278,70,0,23,16,15,2184,201,6,4,20
"Grant County, Indiana",4875,2306,2569,2306,0,0,0,4875,2569,0,0,0,1,1,0,20,0,13,0,86,2569,4875,0,0,0,4875,2306,0,0,6,5,4,1078,114,0,0,0
"Greene County, Indiana",8321,4049,4225,4014,82,35,0,8321,4225,82,35,0,14,2,0,23,0,15,0,834,4272,8239,47,0,0,8239,4014,47,0,22,7,5,2286,269,0,9,0
"Hamilton County, Indiana",9855,4716,5107,4681,67,35,0,9855,5107,67,35,0,10,0,0,25,0,27,0,314,5139,9788,32,0,0,9788,4681,32,0,32,17,17,2904,347,0,4,0
"Hancock County, Indiana",7535,3665,3855,3641,39,24,0,7535,3855,39,24,0,0,0,0,9,1,9,0,156,3870,7496,15,0,0,7496,3641,15,0,0,0,0,1494,99,0,3,0
"Harrison County, Indiana",12459,6115,6296,6074,89,41,0,12459,6296,89,41,0,1,2,0,20,0,12,0,162,6344,12370,48,0,0,12370,6074,48,0,7,6,4,2175,234,0,9,90
"Hendricks County, Indiana",11264,5511,5747,5500,17,11,0,11264,5747,17,11,0,1,0,0,0,0,10,0,1450,5753,11247,6,0,0,11247,5500,6,0,2,0,0,2486,112,0,5,0
"Henry County, Indiana",15128,7325,7721,7262,145,63,0,15128,7721,145,63,0,0,3,5,59,0,56,0,661,7803,14983,82,0,0,14983,7262,82,0,11,11,8,3381,436,0,7,0
"Huntington County, Indiana",1579,749,823,742,14,7,0,1579,823,14,7,0,0,0,3,9,2,11,0,15,830,1565,7,0,0,1565,742,7,0,0,0,0,1349,53,1,0,0
"Jackson County, Indiana",8961,4441,4424,4347,190,94,0,8961,4424,190,94,0,3,0,0,30,0,30,0,736,4520,8771,96,0,0,8771,4347,96,0,14,7,7,2614,157,0,10,0
"Jasper County, Indiana",1267,583,683,582,2,1,0,1267,683,2,1,0,0,0,0,0,0,0,0,0,684,1265,1,0,0,1265,582,1,0,0,0,0,397,0,0,0,0
"Jay County, Indiana",3863,1817,2040,1812,11,5,0,3863,2040,11,5,0,5,0,0,0,0,11,0,30,2046,3852,6,0,0,3852,1812,6,0,10,2,2,959,63,0,2,0
"Jefferson County, Indiana",16614,8022,8396,7789,429,233,0,16614,8396,429,233,0,4,7,0,203,2,109,1,1050,8592,16185,196,0,0,16185,7789,196,0,15,14,7,3455,817,32,7,22
"Jennings County, Indiana",8829,4137,4609,4062,158,75,0,8829,4609,158,75,0,0,0,0,49,2,18,0,555,4692,8671,83,0,0,8671,4062,83,0,0,0,0,2047,240,0,10,135
"Johnson County, Indiana",9352,4543,4796,4536,20,7,0,9352,4796,20,7,0,3,1,0,35,0,28,0,160,4809,9332,13,0,0,9332,4536,13,0,6,2,1,1591,205,0,5,40
"Knox County, Indiana",10657,5076,5283,4813,561,263,0,10657,5283,561,263,0,0,4,0,76,0,45,0,829,5581,10096,298,0,0,10096,4813,298,0,9,10,6,1792,293,39,7,108
"Kosciusko County, Indiana",4170,1929,2241,1929,0,0,0,4170,2241,0,0,0,2,0,0,9,0,16,0,216,2241,4170,0,0,0,4170,1929,0,0,3,0,0,108,69,1,0,0
"Lagrange County, Indiana",3664,1701,1960,1701,3,0,0,3664,1960,3,0,0,1,2,0,0,1,20,1,494,1963,3661,3,0,0,3661,1701,3,0,8,4,2,972,114,0,2,130
"Lake County, Indiana",1468,639,828,638,2,1,0,1468,828,2,1,0,1,0,0,1,0,5,0,116,829,1466,1,0,0,1466,638,1,0,2,0,0,510,17,0,0,0
"Laporte County, Indiana",8184,3712,4455,3697,32,15,0,8184,4455,32,15,0,4,3,0,91,0,65,0,642,4472,8152,17,0,0,8152,3697,17,0,11,5,2,2016,470,9,4,195
"Lawrence County, Indiana",11782,5747,5982,5694,106,53,0,11782,5982,106,53,0,2,0,61,72,0,54,0,1232,6035,11676,53,0,0,11676,5694,53,0,4,1,1,3016,324,41,6,51
"Madison County, Indiana",8874,4251,4620,4248,6,3,0,8874,4620,6,3,0,0,2,0,0,0,22,0,1120,4623,8868,3,0,0,8868,4248,3,0,3,3,1,1692,230,1,0,0
"Marion County, Indiana",16080,7697,8243,7582,255,115,0,16080,8243,255,115,0,6,7,1,62,4,77,0,1595,8383,15825,140,0,0,15825,7582,140,0,22,18,11,2118,433,6,14,75
"Marshall County, Indiana",1651,785,865,785,1,0,0,1651,865,1,0,0,0,0,0,8,0,8,0,40,866,1650,1,0,0,1650,785,1,0,0,2,2,327,23,0,1,0
"Martin County, Indiana",3875,1836,2022,1830,23,6,0,3875,2022,23,6,0,0,0,0,14,0,11,0,96,2039,3852,17,0,0,3852,1830,17,0,1,1,1,1000,69,1,2,0
"Miami County, Indiana",3048,1427,1618,1426,4,1,0,3048,1618,4,1,0,1,0,0,29,0,18,0,356,1621,3044,3,0,0,3044,1426,3,0,7,5,5,798,110,0,0,0
"Monroe County, Indiana",10143,4923,5215,4915,13,8,0,10143,5215,13,8,0,4,0,0,16,0,15,1,558,5220,10130,5,0,0,10130,4915,5,0,4,0,0,2474,114,0,6,60
"Montgomery County, Indiana",14438,6971,7411,6933,94,38,0,14438,7411,94,38,0,9,0,0,35,17,73,1,626,7467,14344,56,0,0,14344,6933,56,0,20,5,5,1972,425,1,4,243
"Morgan County, Indiana",10741,5140,5550,5101,90,39,0,10741,5550,90,39,0,5,1,0,29,0,24,0,2050,5601,10651,51,0,0,10651,5101,51,0,12,5,4,1847,206,0,6,0
"Noble County, Indiana",2702,1230,1472,1230,0,0,0,2702,1472,0,0,0,1,0,0,9,0,9,0,111,1472,2702,0,0,0,2702,1230,0,0,1,0,0,850,65,0,0,0
"Orange County, Indiana",9602,4656,4862,4582,158,74,0,9602,4862,158,74,0,4,1,0,26,1,29,0,974,4946,9444,84,0,0,9444,4582,84,0,18,9,8,2541,247,1,6,0
"Owen County, Indiana",8359,4074,4213,3998,148,76,0,8359,4213,148,76,0,0,0,30,34,0,0,0,558,4285,8211,72,0,0,8211,3998,72,0,12,11,11,1822,45,0,14,0
"Parke County, Indiana",13499,6586,6887,6549,63,37,0,13499,6887,63,37,0,6,2,0,73,0,33,0,1841,6913,13436,26,0,0,13436,6549,26,0,23,14,12,3752,432,6,8,150
"Perry County, Indiana",4655,2240,2412,2239,4,1,0,4655,2412,4,1,0,4,4,0,22,0,6,0,194,2415,4651,3,0,0,4651,2239,3,0,12,8,4,1167,105,3,4,0
"Pike County, Indiana",4769,2294,2465,2284,20,10,0,4769,2465,20,10,0,5,1,0,21,0,26,0,342,2475,4749,10,0,0,4749,2284,10,0,13,9,8,911,61,0,0,15
"Porter County, Indiana",2162,985,1172,983,7,2,0,2162,1172,7,2,0,0,0,NA,NA,NA,NA,0,182,1177,2155,5,0,0,2155,983,5,0,5,3,3,NA,NA,NA,1,0
"Posey County, Indiana",9683,4536,5125,4517,41,19,0,9683,5125,41,19,0,2,0,1,86,11,27,0,300,5147,9642,22,0,0,9642,4517,22,0,9,4,4,2606,284,6,4,0
"Pulaski County, Indiana",561,255,306,255,0,0,0,561,306,0,0,0,0,0,0,2,0,4,0,0,306,561,0,0,0,561,255,0,0,0,0,0,122,5,0,0,0
"Putnam County, Indiana",16843,8267,8567,8248,27,18,0,16842,8567,27,18,1,6,1,0,47,3,37,0,2414,8576,16815,9,1,1,16815,8248,9,0,18,10,9,5679,350,1,13,87
"Randolph County, Indiana",10684,5223,5185,4995,504,228,0,10684,5185,504,228,0,7,3,0,22,1,25,0,610,5461,10180,276,0,0,10180,4995,276,0,20,9,6,2515,224,1,6,0
"Ripley County, Indiana",10392,5024,5340,5009,43,15,0,10392,5340,43,15,0,6,4,0,1,12,11,0,70,5368,10349,28,0,0,10349,5009,28,0,13,8,4,2191,242,1,14,20
"Rush County, Indiana",16456,8080,8133,7840,481,239,1,16454,8133,481,239,1,11,3,0,36,7,48,0,1149,8376,15973,242,2,1,15973,7840,242,1,29,22,19,3345,311,0,7,0
"St Joseph County, Indiana",6425,3023,3397,3019,9,4,0,6425,3397,9,4,0,0,1,0,41,4,38,0,920,3402,6416,5,0,0,6416,3019,5,0,5,5,4,1427,324,2,3,38
"Scott County, Indiana",4242,2012,2223,2004,15,8,0,4242,2223,15,8,0,0,1,0,0,0,2,0,55,2230,4227,7,0,0,4227,2004,7,0,2,3,2,731,47,1,7,0
"Shelby County, Indiana",12005,5840,6152,5833,20,7,0,12005,6152,20,7,0,13,0,0,23,0,37,0,249,6165,11985,13,0,0,11985,5833,13,0,32,16,16,2294,251,0,6,0
"Spencer County, Indiana",6305,2980,3307,2971,27,9,0,6305,3307,27,9,0,1,3,0,44,0,23,0,300,3325,6278,18,0,0,6278,2971,18,0,14,9,6,1724,80,15,4,0
"Starke County, Indiana",149,69,80,69,0,0,0,149,80,0,0,0,0,0,0,0,0,0,0,0,80,149,0,0,0,149,69,0,0,0,0,0,29,0,0,0,0
"Steuben County, Indiana",2578,1208,1370,1208,0,0,0,2578,1370,0,0,0,0,0,0,22,0,38,0,439,1370,2578,0,0,0,2578,1208,0,0,0,0,0,1235,150,0,0,0
"Sullivan County, Indiana",8315,4028,4270,4019,26,9,0,8315,4270,26,9,0,7,1,0,26,0,34,0,620,4287,8289,17,0,0,8289,4019,17,0,17,14,13,1776,240,3,5,45
"Switzerland County, Indiana",9920,4754,5150,4728,42,26,0,9920,5150,42,26,0,3,1,0,50,9,40,0,210,5166,9878,16,0,0,9878,4728,16,0,4,3,2,1896,406,15,12,0
"Tippecanoe County, Indiana",13724,6459,7233,6437,54,22,0,13724,7233,54,22,0,8,0,0,91,0,39,0,588,7265,13670,32,0,0,13670,6437,32,0,19,8,8,2948,473,0,4,50
"Union County, Indiana",8017,3865,4120,3836,61,29,0,8017,4120,61,29,0,4,0,0,47,0,31,0,646,4152,7956,32,0,0,7956,3836,32,0,6,2,2,2208,235,0,2,0
"Vanderburgh County, Indiana",6250,2937,3255,2881,114,56,0,6250,3255,114,56,0,1,0,0,22,0,23,0,212,3313,6136,58,0,0,6136,2881,58,0,2,0,0,1083,176,1,1,0
"Vermillion County, Indiana",8274,3938,4323,3928,23,10,0,8274,4323,23,10,0,3,1,50,44,0,20,0,426,4336,8251,13,0,0,8251,3928,13,0,14,10,9,1793,311,1,4,0
"Vigo County, Indiana",12076,5746,6104,5547,425,199,0,12076,6104,425,199,0,0,8,0,153,0,59,0,1307,6330,11651,226,0,0,11651,5547,226,0,12,14,6,1862,681,13,2,0
"Wabash County, Indiana",2756,1241,1511,1235,10,6,0,2756,1511,10,6,0,3,0,0,20,0,15,0,45,1515,2746,4,0,0,2746,1235,4,0,7,4,4,490,153,0,0,0
"Warren County, Indiana",5656,2648,3008,2648,0,0,0,5656,3008,0,0,0,0,1,0,24,0,25,0,185,3008,5656,0,0,0,5656,2648,0,0,8,6,5,694,185,0,2,0
"Warrick County, Indiana",6321,3000,3319,2994,8,6,0,6321,3319,8,6,0,2,2,0,30,0,11,0,710,3321,6313,2,0,0,6313,2994,2,0,12,10,8,1951,65,0,2,0
"Washington County, Indiana",15269,7391,7786,7290,193,101,0,15269,7786,193,101,0,6,9,0,69,0,48,0,519,7878,15076,92,0,0,15076,7290,92,0,32,23,14,4548,568,1,13,96
"Wayne County, Indiana",23290,11395,11567,11097,626,298,0,23290,11567,626,298,0,4,14,0,78,0,64,0,2079,11895,22664,328,0,0,22664,11097,328,0,23,20,6,3876,1484,0,9,315
"Wells County, Indiana",1822,852,967,842,13,10,0,1822,967,13,10,0,1,0,0,7,0,2,0,25,970,1809,3,0,0,1809,842,3,0,2,0,0,332,33,4,0,0
"White County, Indiana",1832,882,948,882,2,0,0,1832,948,2,0,0,0,0,0,7,0,3,0,95,950,1830,2,0,0,1830,882,2,0,0,1,1,215,20,0,0,0
"Whitley County, Indiana",1237,562,667,554,16,8,0,1237,667,16,8,0,0,0,0,0,0,3,0,30,675,1221,8,0,0,1221,554,8,0,1,1,1,343,16,0,0,0
"Cedar County, Iowa Territory",1253,536,717,536,0,0,0,1253,717,0,0,0,0,1,0,11,1,7,0,0,717,1253,0,0,0,1253,536,0,0,1,2,1,388,7,0,0,0
"Clayton County, Iowa Territory",1101,327,771,323,7,4,0,1101,771,7,4,0,0,0,28,45,0,99,0,25,774,1094,3,0,0,1094,323,3,0,0,0,0,250,35,54,0,0
"Clinton County, Iowa Territory",821,346,472,339,10,7,0,821,472,10,7,0,0,0,0,4,0,5,0,15,475,811,3,0,0,811,339,3,0,0,0,0,232,17,0,0,0
"Delaware County, Iowa Territory",168,62,106,62,0,0,0,168,106,0,0,0,0,0,0,0,0,0,0,0,106,168,0,0,0,168,62,0,0,0,0,0,9,2,0,0,0
"Des Moines County, Iowa Territory",5577,2522,3052,2519,6,3,0,5577,3052,6,3,0,3,0,0,57,0,65,0,352,3055,5571,3,0,0,5571,2519,3,0,5,1,1,1172,252,5,0,0
"Dubuque County, Iowa Territory",3059,1281,1742,1245,56,26,6,3043,1742,56,26,10,2,0,188,53,4,35,0,60,1778,2987,30,16,10,2987,1245,30,6,4,2,2,386,135,1,1,0
"Henry County, Iowa Territory",3772,1743,2016,1740,16,3,0,3772,2016,16,3,0,0,1,0,26,2,18,0,222,2029,3756,13,0,0,3756,1740,13,0,2,1,0,1086,99,0,1,0
"Indian Lands, Iowa Territory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jackson County, Iowa Territory",1411,604,802,599,10,5,0,1411,802,10,5,0,0,0,NA,NA,NA,NA,0,0,807,1401,5,0,0,1401,599,5,0,0,0,0,NA,NA,NA,0,0
"Jefferson County, Iowa Territory",2773,1258,1515,1258,0,0,0,2773,1515,0,0,0,1,0,0,6,0,8,0,151,1515,2773,0,0,0,2773,1258,0,0,1,2,2,470,62,0,0,0
"Johnson County, Iowa Territory",1491,526,963,525,3,1,0,1491,963,3,1,0,0,0,0,18,0,5,0,0,965,1488,2,0,0,1488,525,2,0,0,0,0,330,222,0,0,0
"Jones County, Iowa Territory",471,182,289,182,0,0,0,471,289,0,0,0,0,0,0,0,0,0,0,0,289,471,0,0,0,471,182,0,0,0,0,0,284,5,0,0,0
"Lee County, Iowa Territory",6093,2738,3351,2731,11,7,0,6093,3351,11,7,0,2,0,0,40,4,36,0,346,3355,6082,4,0,0,6082,2731,4,0,4,2,2,1061,213,17,0,0
