QualifyingAreaName,TotalPopulation,Female,White_Male,White_Female,FreeColoredPopulation,FreeColored_Female,Slave_Male,FreePersons,FreePersons_White_Male,FreePersons_ColoredPersons,FreePersons_ColoredPersons_Female,SlavePopulation_Female,DisabledWhite_DeafandDumb,InsaneandIdioticPersons_AtPublicCharge,PersonsEmployedinMining,PersonsEmployedinCommerce,PersonsEmployedinOceanNavigation,PersonsEmployedEngineersProfessional,CollegeUniversityStudents,PrimaryCommonSchoolStudents,Male,WhitePopulation,FreeColored_Male,SlavePopulation,Slave_Female,FreePersons_White,FreePersons_White_Female,FreePersons_ColoredPersons_Male,SlavePopulation_Male,DisabledWhite,InsaneandIdioticPersons,InsaneandIdioticPersons_AtPrivateCharge,PersonsEmployedinAgriculture,PersonsEmployedinManufacturingTrade,PersonsEmployedinLandNavigation,PensionersofRevolutionaryWarorMilitaryService,AcademyGrammarSchoolStudents
"Scott County, Mississippi",1653,794,632,557,2,0,225,1191,632,2,0,237,1,1,0,5,0,4,0,0,859,1189,2,462,237,1189,557,2,225,1,1,0,550,12,0,0,0
"Simpson County, Mississippi",3380,1643,1304,1169,0,0,433,2473,1304,0,0,474,0,1,0,1,0,6,0,0,1737,2473,0,907,474,2473,1169,0,433,4,1,0,1140,32,0,1,0
"Smith County, Mississippi",1961,957,802,740,0,0,202,1542,802,0,0,217,0,0,0,0,0,0,0,79,1004,1542,0,419,217,1542,740,0,202,1,1,1,578,5,0,1,0
"Tallahatchie County, Mississippi",2985,1369,772,620,2,0,842,1394,772,2,0,749,0,0,0,0,0,0,0,48,1616,1392,2,1591,749,1392,620,2,842,4,3,3,1176,0,0,0,0
"Tippah County, Mississippi",9444,4630,3770,3539,1,0,1043,7310,3770,1,0,1091,4,0,0,12,0,30,0,267,4814,7309,1,2134,1091,7309,3539,1,1043,4,0,0,3005,48,0,2,40
"Tishomingo County, Mississippi",6681,3212,3079,2773,1,0,389,5853,3079,1,0,439,2,0,0,0,0,37,0,301,3469,5852,1,828,439,5852,2773,1,389,4,2,2,1223,97,1,2,0
"Tunica County, Mississippi",821,360,331,235,4,2,128,570,331,4,2,123,1,0,0,11,0,13,0,62,461,566,2,251,123,566,235,2,128,2,1,1,121,61,5,0,0
"Warren County, Mississippi",15820,7537,3063,2160,104,54,5170,5327,3063,104,54,5323,0,2,0,289,0,168,0,176,8283,5223,50,10493,5323,5223,2160,50,5170,4,3,1,6310,472,15,0,184
"Washington County, Mississippi",7287,3399,421,233,6,5,3466,660,421,6,5,3161,0,0,0,0,0,4,0,0,3888,654,1,6627,3161,654,233,1,3466,0,0,0,4673,0,0,0,0
"Wayne County, Mississippi",2120,1024,588,553,0,0,508,1141,588,0,0,471,0,0,0,1,0,0,0,0,1096,1141,0,979,471,1141,553,0,508,0,0,0,817,14,0,0,0
"Wilkinson County, Mississippi",14193,7097,1743,1526,30,18,5341,3299,1743,30,18,5553,2,0,4,33,0,31,0,97,7096,3269,12,10894,5553,3269,1526,12,5341,3,3,3,6240,134,0,0,264
"Winston County, Mississippi",4650,2241,1598,1463,0,0,811,3061,1598,0,0,778,3,0,1,0,0,13,0,29,2409,3061,0,1589,778,3061,1463,0,811,4,1,1,1685,2,0,5,18
"Yalobusha County, Mississippi",12248,5715,3666,2974,7,3,2863,6647,3666,7,3,2738,1,0,0,47,0,68,0,558,6533,6640,4,5601,2738,6640,2974,4,2863,7,6,6,4414,195,14,1,65
"Yazoo County, Mississippi",10480,5018,1834,1282,25,10,3613,3141,1834,25,10,3726,1,0,6,77,2,63,0,255,5462,3116,15,7339,3726,3116,1282,15,3613,7,5,5,5540,128,9,0,0
"Audrain County, Missouri",1949,941,919,833,2,2,89,1754,919,2,2,106,1,2,0,3,0,2,0,45,1008,1752,0,195,106,1752,833,0,89,3,2,0,521,28,0,0,0
"Barry County, Missouri",4795,2240,2424,2094,8,3,126,4526,2424,8,3,143,0,0,0,3,0,5,0,278,2555,4518,5,269,143,4518,2094,5,126,4,4,4,1212,25,0,4,0
"Benton County, Missouri",4205,1971,2092,1852,0,0,142,3944,2092,0,0,119,0,0,0,0,0,12,0,30,2234,3944,0,261,119,3944,1852,0,142,0,0,0,1368,44,0,0,0
"Boone County, Missouri",13561,6537,5504,5025,24,10,1506,10553,5504,24,10,1502,5,2,15,108,0,42,1,1033,7024,10529,14,3008,1502,10529,5025,14,1506,13,11,9,3976,529,9,13,114
"Buchanan County, Missouri",6237,2941,3178,2826,6,0,112,6010,3178,6,0,115,4,0,NA,NA,NA,NA,0,427,3296,6004,6,227,115,6004,2826,6,112,13,4,4,NA,NA,NA,1,0
"Caldwell County, Missouri",1458,665,770,627,0,0,23,1397,770,0,0,38,1,1,0,0,0,0,0,0,793,1397,0,61,38,1397,627,0,23,2,1,0,404,0,0,0,0
"Callaway County, Missouri",11765,5749,4490,4111,22,9,1513,8623,4490,22,9,1629,7,1,7,23,0,1,0,964,6016,8601,13,3142,1629,8601,4111,13,1513,15,8,7,2883,283,3,9,61
"Cape Girardeau County, Missouri",9359,4559,4125,3895,14,3,664,8034,4125,14,3,661,4,0,0,52,3,55,0,175,4800,8020,11,1325,661,8020,3895,11,664,6,0,0,2579,259,1,5,40
"Carroll County, Missouri",2423,1117,1154,1001,0,0,152,2155,1154,0,0,116,3,0,0,11,0,10,0,26,1306,2155,0,268,116,2155,1001,0,152,5,3,3,683,47,0,1,0
"Chariton County, Missouri",4746,2259,1993,1716,20,10,484,3729,1993,20,10,533,0,2,0,33,0,24,0,123,2487,3709,10,1017,533,3709,1716,10,484,3,3,1,1954,400,5,1,130
"Clark County, Missouri",2846,1326,1305,1118,3,1,213,2426,1305,3,1,207,0,1,0,13,1,14,0,133,1520,2423,2,420,207,2423,1118,2,213,1,3,2,817,93,0,0,25
"Clay County, Missouri",8282,3945,3382,2991,34,17,938,6407,3382,34,17,937,2,1,0,57,0,23,0,338,4337,6373,17,1875,937,6373,2991,17,938,9,7,6,2900,192,1,5,58
"Clinton County, Missouri",2724,1304,1331,1199,3,2,88,2533,1331,3,2,103,0,0,0,14,0,10,0,128,1420,2530,1,191,103,2530,1199,1,88,3,2,2,899,28,0,0,0
"Cole County, Missouri",9286,4357,4311,3762,34,6,590,8107,4311,34,6,589,7,3,34,55,0,52,0,314,4929,8073,28,1179,589,8073,3762,28,590,13,7,4,2498,377,12,5,74
"Cooper County, Missouri",10484,4980,4431,3881,15,8,1066,8327,4431,15,8,1091,0,2,0,95,0,50,0,811,5504,8312,7,2157,1091,8312,3881,7,1066,4,6,4,2620,421,2,4,142
"Crawford County, Missouri",3561,1704,1766,1611,0,0,91,3377,1766,0,0,93,0,0,0,1,2,8,0,116,1857,3377,0,184,93,3377,1611,0,91,5,1,1,864,73,0,5,0
"Daviess County, Missouri",2736,1286,1393,1207,2,1,56,2602,1393,2,1,78,2,0,NA,NA,NA,NA,0,91,1450,2600,1,134,78,2600,1207,1,56,7,5,5,NA,NA,NA,0,0
"Franklin County, Missouri",7515,3535,3443,3004,14,5,528,6461,3443,14,5,526,1,0,93,34,0,47,0,454,3980,6447,9,1054,526,6447,3004,9,528,8,6,6,2106,204,10,3,50
"Gasconade County, Missouri",5330,2505,2666,2321,1,0,158,4988,2666,1,0,184,0,0,0,44,2,22,0,0,2825,4987,1,342,184,4987,2321,1,158,2,3,3,1354,154,10,1,0
"Greene County, Missouri",5372,2551,2490,2203,2,1,330,4695,2490,2,1,347,6,0,0,10,0,10,0,233,2821,4693,1,677,347,4693,2203,1,330,10,4,4,1318,51,0,2,0
"Howard County, Missouri",13108,6242,4998,4383,44,21,1845,9425,4998,44,21,1838,0,0,0,69,9,72,0,657,6866,9381,23,3683,1838,9381,4383,23,1845,0,0,0,3193,363,1,3,22
"Jackson County, Missouri",7612,3616,3307,2938,6,3,686,6251,3307,6,3,675,3,1,0,63,0,20,0,613,3996,6245,3,1361,675,6245,2938,3,686,8,4,3,1703,147,9,1,0
"Jefferson County, Missouri",4296,2024,2078,1882,12,6,188,3972,2078,12,6,136,4,3,46,0,0,2,0,88,2272,3960,6,324,136,3960,1882,6,188,12,5,2,906,3,0,1,0
"Johnson County, Missouri",4471,2163,2056,1855,4,1,249,3915,2056,4,1,307,0,0,0,18,0,15,0,286,2308,3911,3,556,307,3911,1855,3,249,8,7,7,1340,76,0,1,0
"Lafayette County, Missouri",6815,3239,2586,2213,26,13,977,4825,2586,26,13,1013,1,0,3,114,3,37,0,254,3576,4799,13,1990,1013,4799,2213,13,977,3,1,1,1393,243,0,0,0
"Lewis County, Missouri",6040,2900,2629,2337,9,2,504,4975,2629,9,2,561,0,1,0,28,15,38,0,368,3140,4966,7,1065,561,4966,2337,7,504,3,4,3,1637,142,0,0,0
"Lincoln County, Missouri",7449,3618,3056,2817,4,1,772,5877,3056,4,1,800,8,0,0,22,0,21,0,277,3831,5873,3,1572,800,5873,2817,3,772,12,6,6,1812,109,0,7,72
"Linn County, Missouri",2245,1039,1125,977,0,0,81,2102,1125,0,0,62,0,0,NA,NA,NA,NA,0,0,1206,2102,0,143,62,2102,977,0,81,0,0,0,NA,NA,NA,0,0
"Livingston County, Missouri",4325,2050,2160,1922,2,2,115,4084,2160,2,2,126,0,0,NA,NA,NA,NA,0,90,2275,4082,0,241,126,4082,1922,0,115,6,3,3,NA,NA,NA,0,0
"Macon County, Missouri",6034,2845,3075,2733,1,0,113,5809,3075,1,0,112,3,3,0,0,0,4,0,180,3189,5808,1,225,112,5808,2733,1,113,8,10,7,1722,79,0,4,0
"Madison County, Missouri",3395,1601,1462,1300,22,9,319,2784,1462,22,9,292,2,2,86,0,0,0,0,244,1794,2762,13,611,292,2762,1300,13,319,3,4,2,507,337,0,3,0
"Marion County, Missouri",9623,4574,3907,3332,42,14,1114,7281,3907,42,14,1228,7,0,0,66,0,126,1,648,5049,7239,28,2342,1228,7239,3332,28,1114,9,5,5,2248,600,1,3,0
"Miller County, Missouri",2282,1087,1135,1035,1,1,60,2171,1135,1,1,51,0,0,0,0,0,1,0,65,1195,2170,0,111,51,2170,1035,0,60,1,1,1,681,3,0,1,0
"Monroe County, Missouri",9505,4591,4116,3697,5,1,794,7818,4116,5,1,893,3,3,0,41,0,46,0,479,4914,7813,4,1687,893,7813,3697,4,794,18,15,12,2472,261,1,2,125
"Montgomery County, Missouri",4371,2144,1798,1726,20,7,416,3544,1798,20,7,411,4,1,0,16,2,11,0,74,2227,3524,13,827,411,3524,1726,13,416,4,1,0,1280,39,0,2,28
"Morgan County, Missouri",4407,2106,2055,1836,4,0,242,3895,2055,4,0,270,0,0,0,10,0,7,0,141,2301,3891,4,512,270,3891,1836,4,242,4,4,4,1233,78,0,1,30
"New Madrid County, Missouri",4554,2135,2011,1737,5,3,406,3753,2011,5,3,395,1,1,0,11,0,14,0,99,2419,3748,2,801,395,3748,1737,2,406,3,1,0,1196,51,13,0,55
"Newton County, Missouri",3790,1696,2017,1599,5,1,73,3621,2017,5,1,96,2,0,0,23,0,14,0,114,2094,3616,4,169,96,3616,1599,4,73,2,0,0,1303,59,0,0,0
"Perry County, Missouri",5760,2722,2658,2310,14,9,375,4982,2658,14,9,403,0,0,0,20,0,23,1,169,3038,4968,5,778,403,4968,2310,5,375,2,3,3,1626,114,1,0,0
"Pettis County, Missouri",2930,1429,1236,1141,1,0,264,2378,1236,1,0,288,1,0,0,7,0,9,0,0,1501,2377,1,552,288,2377,1141,1,264,2,1,1,648,54,0,2,0
"Pike County, Missouri",10646,5177,4268,3889,17,11,1195,8174,4268,17,11,1277,1,2,11,56,0,52,0,1048,5469,8157,6,2472,1277,8157,3889,6,1195,13,11,9,3220,265,7,4,0
"Platte County, Missouri",8913,4259,4245,3804,6,2,405,8055,4245,6,2,453,1,0,0,56,0,37,0,0,4654,8049,4,858,453,8049,3804,4,405,3,1,1,2207,195,0,3,0
"Polk County, Missouri",8449,4054,4188,3790,9,5,203,7987,4188,9,5,259,10,1,0,15,0,8,0,93,4395,7978,4,462,259,7978,3790,4,203,20,7,6,2478,51,0,2,0
"Pulaski County, Missouri",6529,3062,3378,2960,1,1,89,6339,3378,1,1,101,2,1,2,24,0,18,0,116,3467,6338,0,190,101,6338,2960,0,89,9,5,4,2065,111,23,0,0
"Ralls County, Missouri",5670,2714,2336,2114,11,3,612,4461,2336,11,3,597,0,4,0,23,0,17,0,243,2956,4450,8,1209,597,4450,2114,8,612,7,10,6,1311,118,1,4,38
"Randolph County, Missouri",7198,3464,3047,2702,12,7,682,5761,3047,12,7,755,2,0,3,16,0,18,0,655,3734,5749,5,1437,755,5749,2702,5,682,9,7,7,2211,196,0,0,0
"Ray County, Missouri",6553,3127,2996,2718,5,1,426,5719,2996,5,1,408,0,1,0,36,0,13,0,206,3426,5714,4,834,408,5714,2718,4,426,4,3,2,1846,94,0,2,0
"Ripley County, Missouri",2856,1378,1441,1336,2,0,35,2779,1441,2,0,42,1,1,2,1,0,0,0,60,1478,2777,2,77,42,2777,1336,2,35,1,1,0,777,35,0,0,0
"Rives County, Missouri",4726,2226,2176,1910,4,1,321,4090,2176,4,1,315,0,0,0,28,0,10,0,299,2500,4086,3,636,315,4086,1910,3,321,2,1,1,1275,18,0,1,0
"St Charles County, Missouri",7911,3724,3378,2908,28,17,798,6314,3378,28,17,799,2,1,1,44,0,39,1,321,4187,6286,11,1597,799,6286,2908,11,798,14,12,11,1488,320,20,0,57
"Ste Genevieve County, Missouri",3148,1454,1384,1179,37,18,291,2600,1384,37,18,257,0,0,0,34,0,0,0,92,1694,2563,19,548,257,2563,1179,19,291,2,2,2,499,84,0,1,60
"St Francois County, Missouri",3211,1522,1407,1287,16,11,277,2710,1407,16,11,224,0,1,79,12,0,23,0,286,1689,2694,5,501,224,2694,1287,5,277,3,3,2,1041,83,0,1,0
"St Louis County, Missouri",35979,15127,18080,12425,858,384,2298,31363,18080,858,384,2318,13,17,50,1011,2,267,2,1056,20852,30505,474,4616,2318,30505,12425,474,2298,50,29,12,3996,3034,1747,1,662
"Saline County, Missouri",5258,2524,1928,1707,8,4,802,3643,1928,8,4,813,0,0,0,14,0,16,0,303,2734,3635,4,1615,813,3635,1707,4,802,9,9,9,1247,117,0,2,0
"Scott County, Missouri",5974,2762,2755,2273,18,10,449,5046,2755,18,10,479,1,0,0,26,0,33,0,134,3212,5028,8,928,479,5028,2273,8,449,2,2,2,1535,100,5,1,0
"Shelby County, Missouri",3056,1447,1357,1230,11,4,245,2598,1357,11,4,213,1,0,0,0,0,0,0,256,1609,2587,7,458,213,2587,1230,7,245,1,0,0,840,0,0,1,0
"Stoddard County, Missouri",3153,1510,1605,1476,1,0,37,3082,1605,1,0,34,2,0,0,0,0,0,0,80,1643,3081,1,71,34,3081,1476,1,37,6,3,3,861,0,1,1,0
"Taney County, Missouri",3264,1523,1713,1499,12,6,22,3224,1713,12,6,18,1,0,51,0,0,6,0,0,1741,3212,6,40,18,3212,1499,6,22,2,1,1,975,5,0,0,0
"Van Buren County, Missouri",4693,2197,2370,2078,31,11,106,4479,2370,31,11,108,4,1,0,13,0,25,0,298,2496,4448,20,214,108,4448,2078,20,106,11,6,5,1423,72,0,1,0
"Unattached, Missouri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Warren County, Missouri",4253,2033,1876,1679,2,0,342,3557,1876,2,0,354,0,0,0,18,0,10,0,104,2220,3555,2,696,354,3555,1679,2,342,0,0,0,1192,81,2,2,0
"Washington County, Missouri",7213,3377,3314,2934,42,19,499,6290,3314,42,19,424,0,0,258,31,0,19,0,339,3836,6248,23,923,424,6248,2934,23,499,2,0,0,1058,122,0,5,83
"Wayne County, Missouri",3403,1653,1596,1473,12,4,146,3081,1596,12,4,176,3,0,1,0,0,11,0,234,1750,3069,8,322,176,3069,1473,8,146,6,2,2,1007,33,0,0,0
"Cheshire County, New Hampshire",26429,13288,13116,13273,40,15,0,26429,13116,40,15,0,21,19,0,152,5,129,0,5796,13141,26389,25,0,0,26389,13273,25,0,107,63,44,6552,1618,26,186,610
"Coos County, New Hampshire",9849,4845,5002,4844,3,1,0,9849,5002,3,1,0,4,7,0,32,0,37,0,3104,5004,9846,2,0,0,9846,4844,2,0,16,14,7,6926,277,0,45,128
"Grafton County, New Hampshire",42311,20853,21446,20834,31,19,0,42311,21446,31,19,0,29,41,13,205,10,561,1,14047,21458,42280,12,0,0,42280,20834,12,0,152,109,68,23434,2504,50,261,476
"Hillsborough County, New Hampshire",42494,22395,20055,22343,95,51,0,42493,20055,95,51,1,28,22,0,407,2,161,0,12798,20099,42398,44,1,1,42398,22343,44,0,93,48,26,9354,3535,52,183,761
"Merrimack County, New Hampshire",36253,18495,17698,18449,106,46,0,36253,17698,106,46,0,28,19,0,133,31,168,0,10380,17758,36147,60,0,0,36147,18449,60,0,105,62,43,8446,1986,32,175,1094
"Rockingham County, New Hampshire",45771,23594,22098,23474,199,120,0,45771,22098,199,120,0,22,45,0,162,350,262,0,10618,22177,45572,79,0,0,45572,23474,79,0,139,97,52,6008,2544,17,166,1015
"Strafford County, New Hampshire",61127,31663,29454,31641,32,22,0,61127,29454,32,22,0,47,33,0,283,53,233,1,19836,29464,61095,10,0,0,61095,31641,10,0,188,100,67,12513,4452,18,286,1339
"Sullivan County, New Hampshire",20340,10189,10135,10174,31,15,0,20340,10135,31,15,0,2,5,0,5,1,89,0,7053,10151,20309,16,0,0,20309,10174,16,0,20,12,7,4716,910,3,106,376
"Atlantic County, New Jersey",8726,4188,4418,4074,234,114,0,8726,4418,234,114,0,1,0,0,39,326,7,0,2520,4538,8492,120,0,0,8492,4074,120,0,3,0,0,1799,345,0,8,0
"Bergen County, New Jersey",13223,6353,5909,5563,1529,686,118,13001,5909,1529,686,104,1,1,21,57,26,53,0,1388,6870,11472,843,222,104,11472,5563,843,118,23,20,19,2489,974,52,34,25
"Burlington County, New Jersey",32831,16569,15434,15753,1643,815,0,32830,15434,1643,815,1,14,29,1,236,121,135,0,5139,16262,31187,828,1,1,31187,15753,828,0,61,43,14,4592,2056,147,2,135
"Cape May County, New Jersey",5324,2646,2586,2540,198,106,0,5324,2586,198,106,0,1,1,0,0,178,14,0,992,2678,5126,92,0,0,5126,2540,92,0,3,1,0,859,179,32,0,0
"Cumberland County, New Jersey",14374,7103,6796,6682,896,421,0,14374,6796,896,421,0,9,11,0,77,41,52,0,2912,7271,13478,475,0,0,13478,6682,475,0,40,20,9,2249,905,318,18,396
"Essex County, New Jersey",44621,22877,20832,21861,1908,1009,13,44601,20832,1908,1009,7,23,15,18,364,27,256,0,4655,21744,42693,899,20,7,42693,21861,899,13,57,36,21,3193,5721,91,81,680
"Gloucester County, New Jersey",25438,12451,12151,11656,1631,795,0,25438,12151,1631,795,0,10,18,0,138,17,99,0,4256,12987,23807,836,0,0,23807,11656,836,0,43,28,10,4839,1877,195,10,395
"Hudson County, New Jersey",9483,4564,4718,4435,319,122,4,9472,4718,319,122,7,1,0,0,44,13,112,0,1136,4919,9153,197,11,7,9153,4435,197,4,2,0,0,818,1082,44,0,0
"Hunterdon County, New Jersey",24789,12393,11991,11985,778,389,16,24754,11991,778,389,19,24,19,0,173,1,77,0,2587,12396,23976,389,35,19,23976,11985,389,16,78,54,35,5232,1480,20,35,0
"Mercer County, New Jersey",21502,10689,9691,9470,2319,1207,10,21480,9691,2319,1207,12,10,6,0,200,6,182,2,1472,10813,19161,1112,22,12,19161,9470,1112,10,28,23,17,2005,2069,59,37,279
"Middlesex County, New Jersey",21893,11216,9952,10378,1535,820,10,21865,9952,1535,820,18,8,2,1,206,10,77,0,2340,10677,20330,715,28,18,20330,10378,715,10,23,15,13,2759,1348,160,46,113
"Monmouth County, New Jersey",32909,16053,15716,14928,2180,1072,32,32824,15716,2180,1072,53,19,29,0,116,310,86,0,4995,16856,30644,1108,85,53,30644,14928,1108,32,76,58,29,5455,1701,200,66,111
"Morris County, New Jersey",25844,12736,12606,12290,911,426,17,25807,12606,911,426,20,6,1,97,121,3,119,0,4343,13108,24896,485,37,20,24896,12290,485,17,23,19,18,3223,1221,54,52,456
"Passaic County, New Jersey",16734,8394,7931,8011,706,329,32,16648,7931,706,329,54,13,0,15,109,22,82,0,1987,8340,15942,377,86,54,15942,8011,377,32,34,14,14,1143,1877,14,22,138
"Salem County, New Jersey",16024,7806,7251,6976,1796,829,0,16023,7251,1796,829,1,9,10,3,91,23,52,0,1646,8218,14227,967,1,1,14227,6976,967,0,35,17,7,4097,832,96,10,71
"Somerset County, New Jersey",17455,8620,7877,7821,1652,737,43,17350,7877,1652,737,62,5,9,56,152,15,106,1,1313,8835,15698,915,105,62,15698,7821,915,43,41,27,18,3330,1003,0,31,56
"Sussex County, New Jersey",21770,10657,10929,10474,354,174,4,21757,10929,354,174,9,3,9,37,88,0,56,0,3369,11113,21403,180,13,9,21403,10474,180,4,45,37,28,4188,1116,40,14,172
"Warren County, New Jersey",20366,9853,10267,9636,455,213,4,20358,10267,455,213,4,7,11,17,72,4,62,0,5533,10513,19903,242,8,4,19903,9636,242,4,44,30,19,4431,1218,103,6,0
"Albany County, New York",68593,34240,33758,33521,1314,719,0,68593,33758,1314,719,0,9,1,0,421,35,366,0,9319,34353,67279,595,0,0,67279,33521,595,0,38,17,16,8275,3791,305,69,469
"Allegany County, New York",40975,19590,21318,19515,142,75,0,40975,21318,142,75,0,7,10,48,104,2,196,0,9157,21385,40833,67,0,0,40833,19515,67,0,36,20,10,10042,2789,6,52,47
"Broome County, New York",22338,10913,11316,10799,223,114,0,22338,11316,223,114,0,13,9,0,121,3,91,0,6620,11425,22115,109,0,0,22115,10799,109,0,33,15,6,3243,750,30,41,165
"Cattaraugus County, New York",28872,13918,14937,13897,38,21,0,28872,14937,38,21,0,18,8,0,86,5,101,0,7722,14954,28834,17,0,0,28834,13897,17,0,55,31,23,5068,832,17,62,140
"Cayuga County, New York",50338,24618,25482,24421,435,197,0,50338,25482,435,197,0,18,11,25,478,40,302,1,16243,25720,49903,238,0,0,49903,24421,238,0,94,57,46,10995,2942,153,117,601
"Chautauqua County, New York",47975,23573,24345,23506,124,67,0,47975,24345,124,67,0,16,8,22,344,20,341,0,14487,24402,47851,57,0,0,47851,23506,57,0,77,51,43,12195,2088,84,123,808
"Chemung County, New York",20732,10100,10564,10055,113,45,0,20732,10564,113,45,0,1,1,0,153,1,102,0,4837,10632,20619,68,0,0,20619,10055,68,0,17,13,12,3809,1251,112,35,130
"Chenango County, New York",40785,20331,20314,20198,273,133,0,40785,20314,273,133,0,2,19,0,458,1,489,0,12816,20454,40512,140,0,0,40512,20198,140,0,56,50,31,20545,3644,61,103,733
"Clinton County, New York",28157,13723,14386,13685,86,38,0,28157,14386,86,38,0,12,0,77,190,9,88,0,2957,14434,28071,48,0,0,28071,13685,48,0,22,4,4,4602,1235,42,69,151
"Columbia County, New York",43252,21259,21254,20442,1556,817,0,43252,21254,1556,817,0,17,20,16,576,58,225,0,10074,21993,41696,739,0,0,41696,20442,739,0,130,106,86,7224,2347,168,85,709
"Cortland County, New York",24607,12201,12385,12176,46,25,0,24607,12385,46,25,0,3,6,0,51,2,103,0,7930,12406,24561,21,0,0,24561,12176,21,0,36,27,21,6031,1237,2,79,370
"Delaware County, New York",35396,17520,17776,17430,190,90,0,35396,17776,190,90,0,15,14,0,173,0,148,0,10651,17876,35206,100,0,0,35206,17430,100,0,87,50,36,7434,1415,0,93,433
"Dutchess County, New York",52398,26021,25265,24863,2270,1158,0,52398,25265,2270,1158,0,7,29,56,540,33,268,0,4498,26377,50128,1112,0,0,50128,24863,1112,0,59,57,28,16034,4801,136,54,621
"Erie County, New York",62465,29964,32173,29684,608,280,0,62465,32173,608,280,0,16,7,0,893,11,376,0,11432,32501,61857,328,0,0,61857,29684,328,0,73,45,38,11022,3622,415,53,156
"Essex County, New York",23634,11476,12111,11445,78,31,0,23634,12111,78,31,0,10,3,13,136,10,132,0,5636,12158,23556,47,0,0,23556,11445,47,0,49,34,31,5224,1789,137,83,395
"Franklin County, New York",16518,8126,8390,8125,3,1,0,16518,8390,3,1,0,5,7,3,64,1,53,0,4749,8392,16515,2,0,0,16515,8125,2,0,19,11,4,3216,515,0,21,0
"Fulton County, New York",18049,9120,8871,9064,114,56,0,18049,8871,114,56,0,10,1,0,99,6,89,0,4059,8929,17935,58,0,0,17935,9064,58,0,42,18,17,8037,1281,19,93,235
"Genesee County, New York",59587,29508,30015,29457,115,51,0,59587,30015,115,51,0,31,13,0,252,4,259,0,14911,30079,59472,64,0,0,59472,29457,64,0,89,44,31,11412,2375,3,134,1262
"Greene County, New York",30446,14928,15072,14481,893,447,0,30446,15072,893,447,0,13,9,0,3,22,145,0,3227,15518,29553,446,0,0,29553,14481,446,0,45,29,20,6071,2236,177,49,97
"Hamilton County, New York",1907,855,1051,853,3,2,0,1907,1051,3,2,0,2,0,0,2,0,0,0,579,1052,1904,1,0,0,1904,853,1,0,2,0,0,510,72,0,6,0
"Herkimer County, New York",37477,18084,19250,17940,287,144,0,37477,19250,287,144,0,44,12,0,353,7,233,1,8522,19393,37190,143,0,0,37190,17940,143,0,155,79,67,12596,2866,213,119,280
"Jefferson County, New York",60984,29638,31276,29567,141,71,0,60984,31276,141,71,0,21,15,105,467,17,200,1,11548,31346,60843,70,0,0,60843,29567,70,0,80,52,37,12976,2451,161,106,125
"Kings County, New York",47613,24328,21917,22850,2843,1475,0,47610,21917,2843,1475,3,7,19,2,1770,995,375,0,5280,23285,44767,1368,3,3,44767,22850,1368,0,50,35,16,3234,6160,448,17,1398
"Lewis County, New York",17830,8631,9174,8603,53,28,0,17830,9174,53,28,0,9,3,12,102,2,74,0,5259,9199,17777,25,0,0,17777,8603,25,0,60,32,29,4704,937,0,38,120
